OBJECTID,ID,RUT_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_EMPRESA_O_PRODUCTOR_MINERO,NOMBRE_FAENA,NOMBRE_INSTALACION,TIPO_DEPOSITO,RECURSO,TIPO_MINERIA,CANTIDAD_MUROS__CONTENCION_,CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,UTM_NORTE,UTM_ESTE,DATUM,HUSO,LATITUD,LONGITUD,ESTADO_INSTALACION,METODO_CONSTRUCTIVO_MURO,VOL_AUTORIZADO,VOL_ACTUAL,TONELAJE_AUTORIZADO,TONELAJE_ACTUAL,RES_APRUEBA,FECHA_RES_APRUEBA,RES_PDC_APRUEBA,FECHA_RES_PDC
12,"0012-3N",61703000-4,ENAMI,PLANTA MATTA,TRANQUE DE RELAVE 1,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6967662.2807,376146.7256,WGS84,19S,-27.4087945395296,-70.2528341388443,INACTIVO,,138935,,208402,,,,2649,2015/10/22
13,"0013-3N",61703000-4,ENAMI,PLANTA MATTA,TRANQUE DE RELAVE 2,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6967392.0498,376007.2146,WGS84,19S,-27.411220931169,-70.254272630916,INACTIVO,,3810667,,5716000,,,,2649,2015/10/22
97,"0097-3N",8226558-9,MIGUEL DAY,PLANTA DAY,DAY,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6969231.5972,367188.284,WGS84,19S,-27.3937870921841,-70.3432622096846,INACTIVO,AGUAS ARRIBA,17600,,26400,,828,1984/08/09,,
98,"0098-3N",8226558-9,MIGUEL DAY,PLANTA DAY,DESCONOCIDO,ACOPIO,ORO,METÁLICO,,"03","031","03101",Atacama,Copiapó,Copiapó,6969427.5937,367465.2845,WGS84,19S,-27.3920450495319,-70.340439902797,INACTIVO,NO APLICA,1000,,1500,,,,,
105,"0105-3N",76579210-K,SOC. CONTRACTUAL MINERA ALIANZA,PLANTA VIÑITA AZUL ,TRANQUE 1,TRANQUE DE RELAVE,ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6966771.8386,369748.7863,WGS84,19S,-27.4162350071985,-70.3176341335579,INACTIVO,AGUAS ARRIBA,4800,,7200,,521,1986/05/19,,
106,"0106-3N",76579210-K,SOC. CONTRACTUAL MINERA ALIANZA,PLANTA VIÑITA AZUL,TRANQUE 2,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6966657.6178,369532.9228,WGS84,19S,-27.4172452730571,-70.3198296161068,INACTIVO,EJE CENTRAL,268920,227264,403380,340897,30,1985/01/08,345,2014/04/30
107,"0107-3N",76579210-K,SOC. CONTRACTUAL MINERA ALIANZA,PLANTA VIÑITA AZUL,TRANQUE 3,TRANQUE DE RELAVE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6966720.0517,369068.4258,WGS84,19S,-27.4166372115481,-70.3245208165072,INACTIVO,EJE CENTRAL,72490,88312,108735,132468,268,2014/04/10,345,2014/04/30
111,"0111-3N",77041907-7,OP MINING CHILE SpA,PLANTA OP (EX FARAH),FARAH 1-2-3-4-5-6-7,TRANQUE DE RELAVE,COBRE-ORO-HIERRO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6967805.7325,366933.3787,WGS84,19S,-27.4066315008067,-70.3459956583462,INACTIVO,,187300,,280950,,82,2015/03/03,281,2015/08/13
112,"0112-3N",77041907-7,OP MINING CHILE SpA,PLANTA OP (EX FARAH),EMBALSE OP,EMBALSE,COBRE-ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6968162.2416,367108.4966,WGS84,19S,-27.403430882883,-70.3441857619308,INACTIVO,,108000,18,162000,27,278,2015/08/13,281,2015/08/13
115,"0115-3N",13221951-6,CRISTIAN VEGA PINTO,PLANTA ANDACOLLO,EMBALSE MAYA,EMBALSE,COBRE,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6966458.9615,362857.281,WGS84,19S,-27.4183826767919,-70.3873684154491,ABANDONADO,,2560,,3840,,,,,
116,"0116-3N",76201908-6,SCM SAN SEBASTIAN,PLANTA ANDREA,TRANQUE DE RELAVE,TRANQUE DE RELAVE,COBRE-ORO,METÁLICO,1,"03","031","03101",Atacama,Copiapó,Copiapó,6970989.6113,372409.8591,WGS84,19S,-27.378418077774,-70.2902779214746,ABANDONADO,,6404,,9606,,648,1987/07/17,,
